地区名,最寄駅距離（分）,取引価格,間取り,面積（㎡）,建築年,築年数,構造,都市計画,建ぺい率（％）,容積率（％）,取引年,改装
秋葉町,45,35000000,３ＬＤＫ,65,平成29年,4,ＲＣ,工業地域,60,200,2021,未改装
秋葉町,45,19000000,３ＬＤＫ,60,昭和54年,42,ＲＣ,準工業地域,60,200,2021,改装済
秋葉町,45,36000000,３ＬＤＫ,65,平成29年,4,ＲＣ,工業地域,60,200,2021,未改装
秋葉町,45,6000000,３ＤＫ,60,昭和54年,41,ＲＣ,準工業地域,60,200,2020,未改装
秋葉町,45,32000000,３ＬＤＫ,65,平成29年,3,ＲＣ,工業地域,60,200,2020,未改装
秋葉町,45,30000000,３ＬＤＫ,65,平成29年,3,ＲＣ,工業地域,60,200,2020,未改装
秋葉町,45,28000000,３ＬＤＫ,65,平成29年,3,ＲＣ,工業地域,60,200,2020,未改装
秋葉町,45,15000000,３ＤＫ,60,昭和60年,35,ＲＣ,準工業地域,60,200,2020,改装済
秋葉町,26,23000000,３ＬＤＫ,70,平成20年,12,ＲＣ,準工業地域,60,200,2020,未改装
秋葉町,45,18000000,３ＬＤＫ,65,昭和54年,40,ＲＣ,準工業地域,60,200,2019,改装済
柏尾町,21,15000000,３ＬＤＫ,60,昭和62年,34,ＲＣ,第１種住居地域,60,200,2021,改装済
柏尾町,21,17000000,３ＬＤＫ,60,昭和62年,34,ＲＣ,第１種住居地域,60,200,2021,改装済
柏尾町,25,25000000,３ＬＤＫ,75,平成24年,8,ＲＣ,工業地域,60,200,2020,未改装
柏尾町,29,28000000,３ＬＤＫ,75,平成24年,8,ＲＣ,工業地域,60,200,2020,未改装
柏尾町,25,21000000,３ＬＤＫ,70,平成24年,8,ＲＣ,工業地域,60,200,2020,未改装
柏尾町,25,23000000,３ＬＤＫ,70,平成24年,8,ＲＣ,工業地域,60,200,2020,改装済
柏尾町,25,28000000,３ＬＤＫ,70,平成24年,8,ＲＣ,工業地域,60,200,2020,改装済
柏尾町,25,24000000,３ＬＤＫ,65,平成24年,8,ＲＣ,工業地域,60,200,2020,改装済
柏尾町,25,30000000,４ＬＤＫ,80,平成24年,7,ＲＣ,工業地域,60,200,2019,未改装
上倉田町,9,18000000,２ＬＤＫ,55,平成6年,27,ＲＣ,第１種住居地域,60,200,2021,未改装
上倉田町,15,48000000,２ＬＤＫ＋Ｓ,85,平成18年,15,ＲＣ,準住居地域,60,200,2021,未改装
上倉田町,13,47000000,４ＬＤＫ,100,平成18年,14,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
上倉田町,5,41000000,３ＬＤＫ,80,昭和59年,36,ＳＲＣ,第１種住居地域,60,200,2020,未改装
上倉田町,14,50000000,３ＬＤＫ,95,平成18年,14,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
上倉田町,13,40000000,２ＬＤＫ,85,平成18年,14,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
上倉田町,7,62000000,３ＬＤＫ,70,平成30年,2,ＲＣ,第１種住居地域,60,200,2020,未改装
上倉田町,5,32000000,３ＬＤＫ,70,昭和59年,36,ＲＣ,近隣商業地域,80,300,2020,未改装
上倉田町,25,29000000,３ＬＤＫ,75,昭和62年,33,ＲＣ,準住居地域,60,200,2020,改装済
上倉田町,7,59000000,２ＬＤＫ,70,平成30年,2,ＲＣ,第１種住居地域,60,200,2020,未改装
上倉田町,5,32000000,３ＬＤＫ,70,昭和59年,36,ＳＲＣ,第１種住居地域,60,200,2020,未改装
上倉田町,8,39000000,３ＬＤＫ,70,平成12年,20,ＲＣ,第１種住居地域,60,200,2020,未改装
上倉田町,14,20000000,３ＬＤＫ,75,昭和61年,34,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
上倉田町,16,45000000,３ＬＤＫ,95,平成18年,14,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
上倉田町,14,43000000,３ＬＤＫ,85,平成18年,14,ＲＣ,第１種中高層住居専用地域,60,150,2020,未改装
上倉田町,5,32000000,３ＬＤＫ,70,昭和59年,36,ＳＲＣ,第１種住居地域,60,200,2020,未改装
上倉田町,7,37000000,３ＬＤＫ,65,平成12年,20,ＲＣ,第１種住居地域,60,200,2020,改装済
上倉田町,11,36000000,３ＬＤＫ,65,平成14年,18,ＲＣ,工業地域,60,200,2020,未改装
上倉田町,5,42000000,３ＬＤＫ,80,昭和59年,36,ＳＲＣ,第１種住居地域,60,200,2020,改装済
上倉田町,5,30000000,３ＬＤＫ,70,昭和59年,36,ＳＲＣ,第１種住居地域,60,200,2020,改装済
上倉田町,11,44000000,４ＬＤＫ,80,平成14年,17,ＲＣ,工業地域,60,200,2019,未改装
上倉田町,14,31000000,３ＬＤＫ,80,昭和61年,33,ＲＣ,第１種中高層住居専用地域,60,150,2019,改装済
上倉田町,11,36000000,３ＬＤＫ,60,平成14年,17,ＲＣ,工業地域,60,200,2019,未改装
上倉田町,5,40000000,３ＬＤＫ,85,昭和59年,35,ＳＲＣ,第１種住居地域,60,200,2019,改装済
上倉田町,25,24000000,３ＬＤＫ,75,昭和62年,32,ＲＣ,準住居地域,60,200,2019,改装済
上倉田町,5,33000000,３ＬＤＫ,75,昭和59年,35,ＳＲＣ,第１種住居地域,60,200,2019,未改装
上倉田町,5,36000000,３ＬＤＫ,70,昭和59年,35,ＳＲＣ,第１種住居地域,60,200,2019,改装済
上倉田町,5,39000000,３ＬＤＫ,70,昭和59年,35,ＳＲＣ,第１種住居地域,60,200,2019,改装済
上倉田町,8,4300000,１Ｋ,15,昭和64年,30,ＲＣ,第１種住居地域,60,200,2019,改装済
上矢部町,23,25000000,３ＬＤＫ,60,平成8年,25,ＲＣ,準工業地域,60,200,2021,改装済
上矢部町,45,24000000,３ＬＤＫ,70,平成10年,22,ＲＣ,工業地域,60,200,2020,未改装
上矢部町,45,21000000,２ＬＤＫ,70,平成19年,13,ＲＣ,工業地域,60,200,2020,未改装
上矢部町,25,9800000,２ＬＤＫ,50,昭和58年,37,ＲＣ,準工業地域,60,200,2020,改装済
上矢部町,45,24000000,３ＬＤＫ,90,平成23年,9,ＲＣ,工業地域,60,200,2020,改装済
上矢部町,45,29000000,３ＬＤＫ,75,平成19年,13,ＲＣ,工業地域,60,200,2020,改装済
上矢部町,25,24000000,３ＬＤＫ,80,平成14年,18,ＳＲＣ,工業地域,60,200,2020,未改装
上矢部町,24,13000000,３ＬＤＫ,60,平成8年,24,ＲＣ,準工業地域,60,200,2020,未改装
上矢部町,28,27000000,３ＬＤＫ,70,平成26年,6,ＲＣ,工業地域,60,200,2020,未改装
上矢部町,25,25000000,４ＬＤＫ,100,平成14年,18,ＳＲＣ,工業地域,60,200,2020,未改装
上矢部町,25,20000000,３ＬＤＫ,65,平成8年,24,ＲＣ,準工業地域,60,200,2020,改装済
上矢部町,45,19000000,３ＬＤＫ,80,平成19年,13,ＲＣ,工業地域,60,200,2020,未改装
